id	sentiment
11745_1	0
8553_3	0
3677_8	1
614_2	0
5361_10	1
10359_7	1
7190_4	0
10746_10	1
3585_9	1
3432_8	1
2454_4	0
12033_8	1
10859_7	1
4943_2	0
8048_7	0
4476_2	0
12460_7	1
1981_2	1
809_3	0
10922_3	0
6236_1	0
10889_1	0
10590_4	0
7403_3	0
10863_8	1
9188_10	1
7129_10	1
8148_1	0
1466_1	0
2196_8	1
7548_8	1
9562_4	0
11675_3	1
3806_8	1
3707_2	0
7096_1	0
4876_4	0
9499_7	1
4809_10	1
2017_10	1
187_2	0
1326_3	0
4435_7	1
1815_10	1
6183_4	0
6916_2	0
4340_2	0
3148_4	1
9348_7	1
2258_7	1
143_7	1
1195_8	1
8824_8	1
10682_1	0
5460_4	0
4483_8	1
6156_10	1
11054_7	1
2681_3	0
8823_8	1
9987_9	1
2545_8	1
6229_7	1
875_10	0
10139_8	1
10233_1	0
3550_1	0
9224_3	0
3301_10	1
1731_10	1
5345_4	1
3998_1	0
3578_1	0
12054_2	0
3540_8	1
11863_1	0
8270_10	1
4120_1	0
639_3	0
4935_7	1
7271_7	1
7693_4	0
5825_1	0
3802_10	1
4577_1	0
8175_3	0
3440_1	0
10547_9	1
6277_1	0
8773_1	0
10557_3	1
2310_9	1
2047_1	0
5491_10	1
4945_7	1
224_10	1
9561_8	1
3331_1	0
9983_3	0
8446_1	0
5239_7	1
11378_1	0
8312_4	0
10205_10	1
1761_1	0
962_8	1
6399_1	0
7595_1	0
656_10	1
8649_9	1
1599_1	0
7150_9	1
4738_7	1
12076_4	0
10980_7	1
2789_1	0
8004_2	0
1610_2	0
642_10	1
2079_10	1
10521_9	1
9679_2	0
1507_8	1
5378_3	0
6438_10	1
725_10	1
11401_1	0
7156_1	0
1768_4	0
390_4	0
4776_3	0
2925_1	0
7985_4	0
4672_10	1
4149_1	0
4034_2	1
4140_10	1
5259_9	1
5794_10	1
1871_10	1
2636_1	0
7853_1	0
3529_9	1
8271_1	0
9065_10	0
6612_8	1
3489_2	0
9659_8	1
4496_8	1
10470_9	1
4618_3	0
355_9	1
1130_2	0
2279_2	0
487_4	1
2178_9	1
6274_8	1
5941_1	0
2477_7	1
9516_8	1
5341_10	1
9232_8	0
1362_10	0
4113_1	0
10737_10	1
9132_10	1
8401_10	1
9229_2	0
10769_10	1
4602_8	1
7826_4	0
3745_2	0
7089_9	1
10808_1	0
11805_2	0
5998_1	0
3324_3	1
8803_10	0
6748_4	0
1878_10	1
8774_4	1
9917_10	1
7563_10	1
9964_4	0
6252_1	0
